TableName,FieldName,FieldType,DataType,DefaultValue
FileSources,TableName,PK,String,
FileSources,FileName,PK,String,
ModelSettings,SettingID,PK,String,
ModelSettings,HoldingCost,Input,Numeric,0
ModelSettings,DaysInYear,Input,Numeric,365
ModelSettings,StartDate,Input,Date,
ModelSettings,EndDate,Input,Date,
Product,Product,PK,String,
Product,ProductCost,Input,Numeric,0
Site,SiteName,PK,String,
Site,SiteType,Input,String,
Site,MaxInventory,Input,Numeric,Inf
Period,Period,PK,String,
Period,EndingDate,Input,Date,
Period,PeriodLength,Calculated,Numeric,
Period,InventoryHoldingRate,Calculated,Numeric,
TransMode,Name,PK,String,
TransMode,RateType,Input,String,LTL
TransMode,Capacity,Input,Numeric,0
TransMode,MaxInstances,Input,Numeric,Inf
TransMode,Instances,Output,Numeric,1
BOM,Process,FK,String,
BOM,Product,FK,String,
BOM,Type,Input,String,Input
BOM,Quantity,Input,Numeric,1
BOM,BOMUsage,Output,Numeric,
Process,Process,PK,String,
Process,Description,Input,String,
ProcessAtFacilityInPeriod,BOMName,FK,String,
ProcessAtFacilityInPeriod,SiteName,FK,String,
ProcessAtFacilityInPeriod,Period,FK,String,
ProcessAtFacilityInPeriod,Capacity,Input,Numeric,
ProcessAtFacilityInPeriod,Cost,Input,Numeric,0
ProcessAtFacilityInPeriod,MinCycles,Input,Numeric,0
ProcessAtFacilityInPeriod,MaxCycles,Input,Numeric,Inf
ProcessAtFacilityInPeriod,Cycles,Output,Numeric,0
ProductAtFacilityInPeriod,Product,FK,String,
ProductAtFacilityInPeriod,SiteName,FK,String,
ProductAtFacilityInPeriod,Period,FK,String,
ProductAtFacilityInPeriod,InventoryHoldingCost,Calculated,Numeric,0
ProductAtFacilityInPeriod,MinEndingInventory,Input,Numeric,0
ProductAtFacilityInPeriod,MaxEndingInventory,Input,Numeric,Inf
ProductAtFacilityInPeriod,MinReceiving,Input,Numeric,0
ProductAtFacilityInPeriod,MaxReceiving,Input,Numeric,Inf
ProductAtFacilityInPeriod,MinShipping,Input,Numeric,0
ProductAtFacilityInPeriod,MaxShipping,Input,Numeric,Inf
ProductAtFacilityInPeriod,StartingInventory,Output,Numeric,0
ProductAtFacilityInPeriod,EndingInventory,Output,Numeric,0
ProductAtFacilityInPeriod,Production,Output,Numeric,0
ProductAtFacilityInPeriod,Consumption,Output,Numeric,0
ProductAtFacilityInPeriod,Shipping,Output,Numeric,0
ProductAtFacilityInPeriod,Receiving,Output,Numeric,0
ModelVariables,VariableName,PK,String,
ModelVariables,TableName,FK,String,
ModelVariables,FieldName,FK,String,
ModelVariables,CostField,FK,String,
ModelVariables,UpperBound,FK,String,
ModelVariables,LowerBound,FK,String,
DataDefinition,TableName,FK,String,
DataDefinition,FieldName,PK,String,
DataDefinition,FieldType,Input,String,
DataDefinition,DataType,Input,String,
DataDefinition,DefaultValue,Input,String,
Demand,Customer,FK,String,
Demand,Product,FK,String,
Demand,Period,FK,String,
Demand,MaxDemand,Input,Numeric,Inf
Demand,MinDemand,Input,Numeric,0
Demand,SellingPrice,Input,Numeric,0
Demand,BackOrderCost,Input,Numeric,0
Demand,SatisfiedDemand,Output,Numeric,
